CustomerKey,Gender,Name,City,State Code,State,Zip Code,Country,Continent,Birthday
10717,Male,Harrison Ingram,Maya,Wa,Western Australia,6614,Australia,Australia,1981-06-16
11035,Female,Makayla Meldrum,Kings Forest,Nsw,New South Wales,2487,Australia,Australia,1939-12-08
11090,Female,Scarlett Scollen,Silverwater,Nsw,New South Wales,2128,Australia,Australia,1953-01-20
11587,Male,Andrew Fenbury,York,Wa,Western Australia,6302,Australia,Australia,1977-11-09
11736,Female,Summer Brownrigg,Yarrabilba,Qld,Queensland,4207,Australia,Australia,1991-01-22
12084,Male,Toby Chauvel,Galga,Sa,South Australia,5308,Australia,Australia,1958-07-20
12160,Male,Jett Creal,Oakhurst,Nsw,New South Wales,2761,Australia,Australia,1956-09-05
12162,Female,Eva Lavarack,Whittington,Vic,Victoria,3219,Australia,Australia,1954-07-30
12207,Male,Aiden Jull,Ogmore,Qld,Queensland,4706,Australia,Australia,1955-11-30
12256,Female,Lilly Lynn,Rothbury,Nsw,New South Wales,2320,Australia,Australia,1991-03-07
12365,Female,Natalie Lyon,Steeple Flat,Nsw,New South Wales,2631,Australia,Australia,1958-04-06
12385,Female,Lily Gribble,Overland Corner,Sa,South Australia,5330,Australia,Australia,1981-06-10
12392,Female,Laura Waterhouse,Greenhill,Sa,South Australia,5140,Australia,Australia,1957-03-08
12649,Female,Rose Raven,Noble Park North,Vic,Victoria,3174,Australia,Australia,1965-12-11
12729,Male,Xavier Sturdee,Stannum,Nsw,New South Wales,2371,Australia,Australia,1937-10-14
12810,Male,Patrick Newbigin,Deer Park,Vic,Victoria,3023,Australia,Australia,1957-06-24
12859,Male,Koby Rayment,Nabawa,Wa,Western Australia,6532,Australia,Australia,1942-04-29
12868,Male,Nathan Greville,Mallala,Sa,South Australia,5502,Australia,Australia,1961-03-12
13045,Female,Abbey Storkey,Blue Mountain Heights,Qld,Queensland,4350,Australia,Australia,1957-10-19
13071,Female,Claudia Fuller,Cuballing,Wa,Western Australia,6311,Australia,Australia,1973-06-28
13232,Female,Maya Coates,Unley Bc,Sa,South Australia,5061,Australia,Australia,1985-08-12
13365,Male,Mitchell Cutlack,Moonem,Nsw,New South Wales,2471,Australia,Australia,1961-01-02
13607,Female,Gemma Maum,Mambray Creek,Sa,South Australia,5495,Australia,Australia,1954-09-21
14069,Male,Jacob Gairdner,Rob Roy,Nsw,New South Wales,2360,Australia,Australia,1949-05-24
14180,Female,Ava Lockyer,Kalgoorlie,Wa,Western Australia,6430,Australia,Australia,1998-05-14
14275,Female,Dakota Dunshea,Bentley,Nsw,New South Wales,2480,Australia,Australia,1979-05-02
14906,Female,Grace Houghton,Boyer,Tas,Tasmania,7140,Australia,Australia,1982-11-16
14962,Female,Mackenzie Newell,Crestwood,Nsw,New South Wales,2153,Australia,Australia,1936-04-05
14988,Female,Emily Thirkell,Wyndham Vale,Vic,Victoria,3024,Australia,Australia,1958-07-24
15109,Female,Sara Marsden,Whale Beach,Nsw,New South Wales,2107,Australia,Australia,1999-08-18
15385,Male,Harry Morgans,Doongin,Wa,Western Australia,6409,Australia,Australia,1995-05-11
15391,Female,Elizabeth Horsley,Marraweeney,Vic,Victoria,3669,Australia,Australia,1989-01-25
15569,Female,Chelsea Weekes,Colac,Vic,Victoria,3250,Australia,Australia,1983-09-08
15718,Female,Natalie Tennant,Dakenba,Qld,Queensland,4715,Australia,Australia,1957-02-20
16193,Female,Isabelle Beggs,Altona,Sa,South Australia,5351,Australia,Australia,1964-05-10
16282,Female,Evie Kirkhope,Reids Flat,Nsw,New South Wales,2586,Australia,Australia,2000-05-11
16716,Female,Abby Frater,Kayuga,Nsw,New South Wales,2333,Australia,Australia,1987-12-16
17412,Male,Mitchell Kwok,Victoria Park,Wa,Western Australia,6100,Australia,Australia,1969-08-31
17811,Female,Alicia Hoy,Wattle Glen,Vic,Victoria,3096,Australia,Australia,1985-10-15
18067,Male,Rory Koerstz,Mount Mckenzie,Sa,South Australia,5353,Australia,Australia,1941-10-26
18263,Male,Callum Semmens,Rural View,Qld,Queensland,4740,Australia,Australia,1978-06-01
18309,Male,Michael Vogt,Fyans Creek,Vic,Victoria,3381,Australia,Australia,1992-01-07
18470,Male,Zac Pryor,Gosford,Nsw,New South Wales,2250,Australia,Australia,1969-03-12
18493,Male,George Kevin,Tascott,Nsw,New South Wales,2250,Australia,Australia,1994-09-27
18714,Male,Ashton Aitken,Pinwernying,Wa,Western Australia,6317,Australia,Australia,1972-08-13
18887,Female,Zara Castleton,Boorolite,Vic,Victoria,3723,Australia,Australia,1978-11-25
19082,Male,Matthew Denman,Ransome,Qld,Queensland,4154,Australia,Australia,1939-04-06
19207,Male,Luke Casimaty,Kurraca,Vic,Victoria,3518,Australia,Australia,1991-01-19
19404,Male,Cody O'Hea,Wynnum,Qld,Queensland,4178,Australia,Australia,1997-06-10
19534,Female,Leah Martin,Tooborac,Vic,Victoria,3522,Australia,Australia,1964-12-13
19579,Female,Ava Reye,Barcaldine,Qld,Queensland,4725,Australia,Australia,1949-10-16
19726,Female,Victoria Daly,Watanobbi,Nsw,New South Wales,2259,Australia,Australia,1973-01-28
19732,Female,Olivia Moresby,Wappilka,Sa,South Australia,5332,Australia,Australia,1981-08-31
19753,Female,Alyssa Solander,Howth,Tas,Tasmania,7316,Australia,Australia,1995-10-21
19916,Male,Hunter Samuel,Little Plain,Nsw,New South Wales,2360,Australia,Australia,1991-05-13
20069,Male,Jesse Parry-Okeden,Gwindinup,Wa,Western Australia,6237,Australia,Australia,1980-11-24
20092,Female,Victoria Fitzsimmons,Cambridge Gardens,Nsw,New South Wales,2747,Australia,Australia,1947-05-03
20237,Male,Riley Montefiore,Williamstown,Vic,Victoria,3016,Australia,Australia,1986-07-14
20623,Female,Eva Rendall,Carlyle,Vic,Victoria,3685,Australia,Australia,1994-03-11
20802,Male,Ben Whitworth,Polda,Sa,South Australia,5670,Australia,Australia,1945-07-07
20946,Female,Taylah Walstab,Winthrop,Wa,Western Australia,6150,Australia,Australia,1999-11-04
21203,Male,Tristan Dobie,Chartwell,Vic,Victoria,3030,Australia,Australia,1960-02-18
21387,Male,Christian Hughes,Cremorne,Nsw,New South Wales,2090,Australia,Australia,1970-01-26
21424,Male,Justin Tickell,Heytesbury Lower,Vic,Victoria,3268,Australia,Australia,1940-07-29
21460,Female,Kayla De Beuzeville,Glenlynn,Wa,Western Australia,6256,Australia,Australia,1957-11-01
21523,Male,Jayden Rennie,Swanhaven,Nsw,New South Wales,2540,Australia,Australia,1969-12-06
21575,Male,Zac Chumleigh,Craigie,Wa,Western Australia,6025,Australia,Australia,1991-12-29
21654,Female,Amber Monger,Parliament House,Sa,South Australia,5000,Australia,Australia,1950-02-03
21819,Female,Matilda Blacklock,Cleveland,Tas,Tasmania,7211,Australia,Australia,2000-06-18
21870,Female,Summer Gramp,Beltana,Sa,South Australia,5730,Australia,Australia,1991-11-23
22158,Male,Will Parer,Church Point,Nsw,New South Wales,2105,Australia,Australia,1996-12-10
22384,Male,Jaxon Cox,Pearce,Act,Australian Capital Territory,2607,Australia,Australia,1951-01-24
22540,Male,Connor Ruwolt,Bandya,Wa,Western Australia,6440,Australia,Australia,1989-06-12
22775,Male,Flynn Campion,Needles,Tas,Tasmania,7304,Australia,Australia,1958-08-27
22826,Male,Edward Putilin,Ashfield,Qld,Queensland,4670,Australia,Australia,1976-09-25
23128,Male,Zane Sinclaire,Summerlands,Vic,Victoria,3922,Australia,Australia,2000-01-02
23203,Female,Gemma Philipp,Madora Bay,Wa,Western Australia,6210,Australia,Australia,1998-08-11
23267,Female,Gabrielle Zinnbauer,Flinders View,Qld,Queensland,4305,Australia,Australia,1954-04-18
23320,Female,Samantha Weigel,Wittenoom,Wa,Western Australia,6751,Australia,Australia,1960-04-15
23431,Female,Grace Scarf,Sheep Hills,Vic,Victoria,3392,Australia,Australia,1970-10-27
23599,Female,Maddison Blanc,Forresters Beach,Nsw,New South Wales,2260,Australia,Australia,1989-10-12
23854,Male,Ali Wroblewski,Murrawombie,Nsw,New South Wales,2825,Australia,Australia,1943-01-02
24069,Male,Edward Carron,Ulmarra,Nsw,New South Wales,2462,Australia,Australia,1985-05-20
24230,Female,Zoe Dadswell,Davoren Park South,Sa,South Australia,5113,Australia,Australia,1979-10-26
24575,Female,Stella O'Mahony,Placid Hills,Qld,Queensland,4343,Australia,Australia,2000-06-07
24920,Female,Natalie Robey,Corny Point,Sa,South Australia,5575,Australia,Australia,1938-04-17
25308,Female,Angelina Kates,West Wiangaree,Nsw,New South Wales,2474,Australia,Australia,1987-03-12
25771,Female,Mikayla Shenton,Boolcarroll,Nsw,New South Wales,2388,Australia,Australia,1959-07-26
25864,Male,Zane Corkill,Shirley,Vic,Victoria,3373,Australia,Australia,1995-05-05
25935,Male,Charlie D'Arcy,Burnt Yards,Nsw,New South Wales,2792,Australia,Australia,1975-01-13
26458,Male,George Creer,Westbury,Vic,Victoria,3825,Australia,Australia,1979-04-28
26477,Male,Caleb Willshire,Morisset,Nsw,New South Wales,2264,Australia,Australia,1959-11-05
26642,Male,Noah Moloney,Elizabeth Beach,Nsw,New South Wales,2428,Australia,Australia,1978-09-30
26728,Female,Gemma Allan,Marrickville South,Nsw,New South Wales,2204,Australia,Australia,1979-01-18
26906,Male,Xavier Mcphee,Clemton Park,Nsw,New South Wales,2206,Australia,Australia,1974-06-16
26914,Female,Amelia England,Mount Cottrell,Vic,Victoria,3024,Australia,Australia,1940-10-10
26970,Female,Rose Frater,Bendigo South,Vic,Victoria,3550,Australia,Australia,1990-11-12
27125,Female,Ashley Hornung,Arno Bay,Sa,South Australia,5603,Australia,Australia,1976-03-16
27210,Male,Liam Osborn,Mootai,Nsw,New South Wales,2325,Australia,Australia,1973-07-02
27356,Male,Hamish D'Hage,Turramurra,Nsw,New South Wales,2074,Australia,Australia,1969-10-02
27432,Female,Mikayla Favenc,Cleve,Sa,South Australia,5640,Australia,Australia,1998-09-26
27492,Female,Bianca Coombe,Yambuk,Vic,Victoria,3285,Australia,Australia,1987-11-04
27616,Male,Cameron Tebbutt,Bannockburn,Vic,Victoria,3331,Australia,Australia,1987-05-17
27896,Male,Zachary Mcleish,Jacup,Wa,Western Australia,6337,Australia,Australia,1973-10-17
27945,Male,Charlie Stralia,Sofala,Nsw,New South Wales,2795,Australia,Australia,1974-05-20
28076,Female,Alannah Onus,Avoca,Tas,Tasmania,7213,Australia,Australia,1979-01-02
28559,Male,Samuel Israel,Yilki,Sa,South Australia,5211,Australia,Australia,1968-12-07
28690,Male,Leo Walcott,Millchester,Qld,Queensland,4820,Australia,Australia,1987-09-12
28702,Female,Charli Lhotsky,Drewvale,Qld,Queensland,4116,Australia,Australia,1966-06-30
29041,Male,Logan Barling,Lindenow,Vic,Victoria,3865,Australia,Australia,1937-11-14
29278,Male,Justin Hartog,Pinevale,Qld,Queensland,4754,Australia,Australia,1990-09-04
29303,Male,Max Cohn,Kirton Point,Sa,South Australia,5606,Australia,Australia,1983-05-01
29320,Male,Levi Barraclough,Blackbutt,Nsw,New South Wales,2529,Australia,Australia,1938-10-14
29475,Female,Madison Pocock,Tuross,Nsw,New South Wales,2630,Australia,Australia,1965-07-03
29555,Male,Owen Edouard,Glen Martin,Nsw,New South Wales,2321,Australia,Australia,1992-07-03
29593,Male,Liam Nettleton,Bakara,Sa,South Australia,5354,Australia,Australia,1995-08-18
29647,Female,Jessica Maynard,Brenda,Nsw,New South Wales,2831,Australia,Australia,1956-05-28
29689,Female,Alexis Phillipps,Burwood Heights,Nsw,New South Wales,2136,Australia,Australia,1966-08-28
29812,Male,Marcus Napier,St Kilda Road Central,Vic,Victoria,3004,Australia,Australia,1966-11-19
29837,Female,Rebecca Jaques,Mount George,Nsw,New South Wales,2424,Australia,Australia,1938-08-14
29973,Female,Lauren Langton,Duckinwilla,Qld,Queensland,4650,Australia,Australia,1937-09-24
30090,Male,George Farrer,Park Avenue,Qld,Queensland,4701,Australia,Australia,1960-10-07
30278,Female,Madeleine Kiddle,Jacana,Vic,Victoria,3047,Australia,Australia,1945-09-12
30428,Female,Sienna Conrick,Earlston,Vic,Victoria,3669,Australia,Australia,1999-12-01
31086,Female,Kate Snowden,Wittenoom,Wa,Western Australia,6751,Australia,Australia,1985-01-30
31164,Male,Hunter Boehm,Bowes,Wa,Western Australia,6535,Australia,Australia,1948-06-15
31236,Female,Abby Warburton,Three Bridges,Vic,Victoria,3797,Australia,Australia,1959-08-08
31288,Male,Adam Banning,Clay Wells,Sa,South Australia,5280,Australia,Australia,1988-08-28
31374,Female,Ellie Griffin,St Agnes,Sa,South Australia,5097,Australia,Australia,1960-12-02
31721,Female,Alyssa Isaacs,Gulfview Heights,Sa,South Australia,5096,Australia,Australia,1961-01-19
31784,Male,Zac Scherk,Wamban,Nsw,New South Wales,2537,Australia,Australia,1968-01-02
32037,Male,Aaron Knopwood,Lake Mokoan,Vic,Victoria,3673,Australia,Australia,1989-02-14
32190,Female,Paige Lacey,Delamere,Sa,South Australia,5204,Australia,Australia,1954-10-28
32259,Female,Ashley Dane?,Sevenhill,Sa,South Australia,5453,Australia,Australia,1975-11-21
32294,Male,Kai Nepean,Rite Island,Qld,Queensland,4807,Australia,Australia,1948-08-04
32455,Female,Charlotte Crane,Mosquito Creek,Qld,Queensland,4387,Australia,Australia,1997-05-09
32488,Male,Max Wylie,Stafford Dc,Qld,Queensland,4053,Australia,Australia,1954-03-15
32511,Male,Jasper Glassop,Woodford,Nsw,New South Wales,2463,Australia,Australia,1964-02-29
32538,Female,Eva Hazon,Boomoodeerie,Nsw,New South Wales,2469,Australia,Australia,1986-07-20
32939,Female,Alica Sizer,Wongulla,Sa,South Australia,5238,Australia,Australia,1951-06-09
33036,Male,Tyler Galvin,Byng,Nsw,New South Wales,2798,Australia,Australia,1959-07-31
33205,Male,Andrew Hollway,Crystal Brook,Qld,Queensland,4800,Australia,Australia,1943-01-10
33444,Male,Brodie Thirkell,Clayton,Vic,Victoria,3168,Australia,Australia,1968-01-09
34081,Female,Imogen Permewan,Fyans Creek,Vic,Victoria,3381,Australia,Australia,1939-05-08
34126,Female,Victoria Tasman,Meningie East,Sa,South Australia,5264,Australia,Australia,1967-09-07
34143,Male,John Gowlland,Warranwood,Vic,Victoria,3134,Australia,Australia,1991-04-07
34431,Male,Leo Badger,Beaconsfield,Wa,Western Australia,6162,Australia,Australia,1940-02-02
34451,Male,Harry Edwin,Gladstone,Nsw,New South Wales,2440,Australia,Australia,1972-11-01
34462,Male,Tyson Tishler,Talaroo,Qld,Queensland,4871,Australia,Australia,1938-07-09
34850,Female,Caitlin O'Loghlin,Blue Vale,Nsw,New South Wales,2380,Australia,Australia,1960-11-30
34915,Female,Kate Byles,Mount Crystal,Nsw,New South Wales,2665,Australia,Australia,1969-01-28
35257,Female,Ella Oxenham,Fernhill,Nsw,New South Wales,2519,Australia,Australia,1970-02-20
35479,Male,Jeremy Petre,Cossack,Wa,Western Australia,6720,Australia,Australia,1978-06-08
35703,Male,Rory Cotton,Lugarno,Nsw,New South Wales,2210,Australia,Australia,1961-12-14
35733,Female,Charlotte Shaw,Waroona,Wa,Western Australia,6215,Australia,Australia,1955-05-14
35795,Male,Riley Clegg,Moyarra,Vic,Victoria,3951,Australia,Australia,1995-08-07
36112,Female,Emma Gepp,Annuello,Vic,Victoria,3549,Australia,Australia,1937-02-12
36336,Female,Anna Burston,Djarawong,Qld,Queensland,4854,Australia,Australia,1990-09-21
36418,Female,Jorja Whitlam,Mount David,Nsw,New South Wales,2795,Australia,Australia,1946-02-18
36507,Male,Joseph Paten,Golden Valley,Tas,Tasmania,7304,Australia,Australia,1955-03-23
36816,Male,Luke Lazenby,Longwarry North,Vic,Victoria,3816,Australia,Australia,1971-05-18
36918,Male,Blake Mann,Owen,Sa,South Australia,5460,Australia,Australia,1982-11-06
37070,Female,Alyssa Hooker,Wanganui,Nsw,New South Wales,2482,Australia,Australia,1981-07-18
37251,Male,Leo Scerri,Gherang,Vic,Victoria,3240,Australia,Australia,1951-06-17
37408,Male,Jaxon Rebell,Torrens,Act,Australian Capital Territory,2607,Australia,Australia,1975-10-11
37580,Female,Mariam Baylee,Tomahawk,Tas,Tasmania,7262,Australia,Australia,1942-01-12
37585,Female,Lauren Fink,Yelta,Sa,South Australia,5558,Australia,Australia,1944-04-17
37802,Male,Luke Byron,South Dudley,Vic,Victoria,3995,Australia,Australia,1990-07-09
37991,Male,Cooper Gillison,Carwell,Nsw,New South Wales,2849,Australia,Australia,1937-01-06
38006,Male,Lachlan Postle,Dyraaba,Nsw,New South Wales,2470,Australia,Australia,1955-10-29
38036,Female,Kiara Schaw,Upper Yarraman,Qld,Queensland,4614,Australia,Australia,1960-07-26
38183,Male,Hunter Montagu,New Italy,Nsw,New South Wales,2472,Australia,Australia,1944-07-30
38195,Female,Sara Roe,Paynedale,Wa,Western Australia,6239,Australia,Australia,1972-11-22
38212,Female,Stella Cain,Wooroonook,Vic,Victoria,3525,Australia,Australia,1985-01-28
38558,Female,Audrey Bold,Bostobrick,Nsw,New South Wales,2453,Australia,Australia,1946-05-19
38613,Male,Hamish Mason,Tacoma,Nsw,New South Wales,2259,Australia,Australia,1988-03-16
38865,Male,Christopher Edmund,Windorah,Qld,Queensland,4481,Australia,Australia,1948-08-17
38950,Female,Hannah Edmond,Arthur River,Tas,Tasmania,7330,Australia,Australia,1954-12-08
39183,Male,Julian Gutteridge,Kurmond,Nsw,New South Wales,2757,Australia,Australia,1973-04-25
39246,Male,Darcy Falconer,Mandalay,Qld,Queensland,4802,Australia,Australia,1974-10-20
39268,Female,Madeleine Marx,Kallangur,Qld,Queensland,4503,Australia,Australia,1975-07-24
39314,Male,Leo Ligar,Light Pass,Sa,South Australia,5355,Australia,Australia,1985-04-20
39498,Female,Amy Curtain,Swanbrook,Nsw,New South Wales,2360,Australia,Australia,1996-08-13
39582,Male,Mason Therry,Risdon,Tas,Tasmania,7017,Australia,Australia,1974-03-15
39592,Female,Alicia Muntz,South Springfield,Tas,Tasmania,7260,Australia,Australia,1965-04-20
39894,Female,Samantha Begg,Junee,Nsw,New South Wales,2663,Australia,Australia,1941-02-26
39927,Male,Bailey Barnet,Sorell,Tas,Tasmania,7172,Australia,Australia,1984-05-15
39996,Male,Harry Dawes,Bendoura,Nsw,New South Wales,2622,Australia,Australia,2001-05-09
40052,Female,Isabel Dettmann,Waverton,Nsw,New South Wales,2060,Australia,Australia,1957-09-06
40221,Male,Jonathan Hammond,Para Hills West,Sa,South Australia,5096,Australia,Australia,2001-11-01
40327,Female,Madeleine Laing,Pialligo,Act,Australian Capital Territory,2609,Australia,Australia,1940-08-23
40363,Female,Alyssa Henslowe,Double Bay,Nsw,New South Wales,2028,Australia,Australia,1984-07-08
40443,Female,Amber Normanby,Carss Park,Nsw,New South Wales,2221,Australia,Australia,1938-04-13
40649,Male,Kai De Vis,Kangiara,Nsw,New South Wales,2582,Australia,Australia,1972-11-29
40662,Male,Oliver Michie,Mount Hicks,Tas,Tasmania,7325,Australia,Australia,1960-12-18
40669,Male,Cody Wheare,Martins Creek,Nsw,New South Wales,2420,Australia,Australia,1968-09-22
40741,Male,Leo Bussau,Harlaxton,Qld,Queensland,4350,Australia,Australia,1937-06-13
41281,Male,Lincoln D'Albertis,Fitzgeralds Mount,Nsw,New South Wales,2799,Australia,Australia,1945-10-27
41386,Female,Stephanie Grant,Seal Bay,Sa,South Australia,5223,Australia,Australia,1948-06-20
41570,Male,Rory Brough,East Point,Nt,Northern Territory,820,Australia,Australia,1937-08-15
41674,Male,Jonathan Hodges,North Lake Grace,Wa,Western Australia,6353,Australia,Australia,1938-03-04
